Sigla UF,UF,Admissões,Desligamentos,Saldo,Bolsa Familia,Ano,CadUnico,Faixa Etária,Categoria,Grau de Instrução,Raça/Cor,Setor Econômico,Sexo,Situação de Pobreza
AC,Acre,35646,30948,4698,NÃO,2021,,,,,,,,
AL,Alagoas,133294,113406,19888,NÃO,2021,,,,,,,,
AP,Amapá,29060,25138,3922,NÃO,2021,,,,,,,,
AM,Amazonas,190591,163951,26640,NÃO,2021,,,,,,,,
BA,Bahia,664755,577262,87493,NÃO,2021,,,,,,,,
CE,Ceará,411103,366339,44764,NÃO,2021,,,,,,,,
DF,Distrito Federal,332890,287178,45712,NÃO,2021,,,,,,,,
ES,Espírito Santo,385446,344489,40957,NÃO,2021,,,,,,,,
GO,Goiás,716569,626586,89983,NÃO,2021,,,,,,,,
MA,Maranhão,188439,161680,26759,NÃO,2021,,,,,,,,
MT,Mato Grosso,480026,427076,52950,NÃO,2021,,,,,,,,
MS,Mato Grosso do Sul,285232,252929,32303,NÃO,2021,,,,,,,,
MG,Minas Gerais,2074947,1832208,242739,NÃO,2021,,,,,,,,
PA,Pará,355545,309103,46442,NÃO,2021,,,,,,,,
PB,Paraíba,149403,127769,21634,NÃO,2021,,,,,,,,
PR,Paraná,1487611,1342981,144630,NÃO,2021,,,,,,,,
PE,Pernambuco,444776,386284,58492,NÃO,2021,,,,,,,,
PI,Piauí,100456,89431,11025,NÃO,2021,,,,,,,,
RJ,Rio de Janeiro,1215191,1078640,136551,NÃO,2021,,,,,,,,
RN,Rio Grande do Norte,158482,140042,18440,NÃO,2021,,,,,,,,
RS,Rio Grande do Sul,1236276,1118608,117668,NÃO,2021,,,,,,,,
RO,Rondônia,132479,119516,12963,NÃO,2021,,,,,,,,
RR,Roraima,33204,29794,3410,NÃO,2021,,,,,,,,
SC,Santa Catarina,1349273,1212151,137122,NÃO,2021,,,,,,,,
SP,São Paulo,5883533,5280636,602897,NÃO,2021,,,,,,,,
SE,Sergipe,88717,81257,7460,NÃO,2021,,,,,,,,
TO,Tocantins,93223,79621,13602,NÃO,2021,,,,,,,,
Não informado,Não informado,120095,113480,6615,NÃO,2021,,,,,,,,
AC,Acre,7853,4509,3344,SIM,2021,,,,,,,,
AL,Alagoas,30827,19556,11271,SIM,2021,,,,,,,,
AP,Amapá,5759,3418,2341,SIM,2021,,,,,,,,
AM,Amazonas,28076,17625,10451,SIM,2021,,,,,,,,
BA,Bahia,140241,82126,58115,SIM,2021,,,,,,,,
CE,Ceará,89456,51416,38040,SIM,2021,,,,,,,,
DF,Distrito Federal,30495,18855,11640,SIM,2021,,,,,,,,
ES,Espírito Santo,44078,30427,13651,SIM,2021,,,,,,,,
GO,Goiás,76723,52196,24527,SIM,2021,,,,,,,,
MA,Maranhão,41226,23048,18178,SIM,2021,,,,,,,,
MT,Mato Grosso,55002,38332,16670,SIM,2021,,,,,,,,
MS,Mato Grosso do Sul,28036,20153,7883,SIM,2021,,,,,,,,
MG,Minas Gerais,243018,165375,77643,SIM,2021,,,,,,,,
PA,Pará,68844,40494,28350,SIM,2021,,,,,,,,
PB,Paraíba,32302,18720,13582,SIM,2021,,,,,,,,
PR,Paraná,122903,88950,33953,SIM,2021,,,,,,,,
PE,Pernambuco,92828,55663,37165,SIM,2021,,,,,,,,
PI,Piauí,24525,14174,10351,SIM,2021,,,,,,,,
RJ,Rio de Janeiro,132405,82414,49991,SIM,2021,,,,,,,,
RN,Rio Grande do Norte,35554,21315,14239,SIM,2021,,,,,,,,
RS,Rio Grande do Sul,107924,81066,26858,SIM,2021,,,,,,,,
RO,Rondônia,10212,6817,3395,SIM,2021,,,,,,,,
RR,Roraima,4676,3155,1521,SIM,2021,,,,,,,,
SC,Santa Catarina,110829,79881,30948,SIM,2021,,,,,,,,
SP,São Paulo,548054,385820,162234,SIM,2021,,,,,,,,
SE,Sergipe,19795,11442,8353,SIM,2021,,,,,,,,
TO,Tocantins,12474,8017,4457,SIM,2021,,,,,,,,
Não informado,Não informado,23295,18240,5055,SIM,2021,,,,,,,,
AC,Acre,36978,34996,1982,NÃO,2022,,,,,,,,
AL,Alagoas,136567,134178,2389,NÃO,2022,,,,,,,,
AP,Amapá,32501,31695,806,NÃO,2022,,,,,,,,
AM,Amazonas,198684,182425,16259,NÃO,2022,,,,,,,,
BA,Bahia,664266,637528,26738,NÃO,2022,,,,,,,,
CE,Ceará,412871,405678,7193,NÃO,2022,,,,,,,,
DF,Distrito Federal,354273,328277,25996,NÃO,2022,,,,,,,,
ES,Espírito Santo,400222,381760,18462,NÃO,2022,,,,,,,,
GO,Goiás,755808,710351,45457,NÃO,2022,,,,,,,,
MA,Maranhão,199097,185787,13310,NÃO,2022,,,,,,,,
MT,Mato Grosso,508476,479452,29024,NÃO,2022,,,,,,,,
MS,Mato Grosso do Sul,312219,288427,23792,NÃO,2022,,,,,,,,
MG,Minas Gerais,2085130,2035289,49841,NÃO,2022,,,,,,,,
PA,Pará,333149,337634,-4485,NÃO,2022,,,,,,,,
PB,Paraíba,146957,144649,2308,NÃO,2022,,,,,,,,
PR,Paraná,1532240,1473704,58536,NÃO,2022,,,,,,,,
PE,Pernambuco,433427,431587,1840,NÃO,2022,,,,,,,,
PI,Piauí,99139,100324,-1185,NÃO,2022,,,,,,,,
RJ,Rio de Janeiro,1270270,1192450,77820,NÃO,2022,,,,,,,,
RN,Rio Grande do Norte,152316,151995,321,NÃO,2022,,,,,,,,
RS,Rio Grande do Sul,1245247,1197527,47720,NÃO,2022,,,,,,,,
RO,Rondônia,137338,128433,8905,NÃO,2022,,,,,,,,
RR,Roraima,39982,35409,4573,NÃO,2022,,,,,,,,
SC,Santa Catarina,1330043,1281686,48357,NÃO,2022,,,,,,,,
SP,São Paulo,6063794,5799052,264742,NÃO,2022,,,,,,,,
SE,Sergipe,86403,88207,-1804,NÃO,2022,,,,,,,,
TO,Tocantins,98763,91860,6903,NÃO,2022,,,,,,,,
Não informado,Não informado,100424,107532,-7108,NÃO,2022,,,,,,,,
AC,Acre,12899,7268,5631,SIM,2022,,,,,,,,
AL,Alagoas,43464,26486,16978,SIM,2022,,,,,,,,
AP,Amapá,10923,6184,4739,SIM,2022,,,,,,,,
AM,Amazonas,47597,29035,18562,SIM,2022,,,,,,,,
BA,Bahia,218876,123884,94992,SIM,2022,,,,,,,,
CE,Ceará,130396,71634,58762,SIM,2022,,,,,,,,
DF,Distrito Federal,54545,34172,20373,SIM,2022,,,,,,,,
ES,Espírito Santo,76398,50353,26045,SIM,2022,,,,,,,,
GO,Goiás,132447,90402,42045,SIM,2022,,,,,,,,
MA,Maranhão,60128,33136,26992,SIM,2022,,,,,,,,
MT,Mato Grosso,92021,64809,27212,SIM,2022,,,,,,,,
MS,Mato Grosso do Sul,55011,38194,16817,SIM,2022,,,,,,,,
MG,Minas Gerais,398695,271378,127317,SIM,2022,,,,,,,,
PA,Pará,94660,57757,36903,SIM,2022,,,,,,,,
PB,Paraíba,46361,25905,20456,SIM,2022,,,,,,,,
PR,Paraná,210944,151070,59874,SIM,2022,,,,,,,,
PE,Pernambuco,140163,78576,61587,SIM,2022,,,,,,,,
PI,Piauí,34520,20256,14264,SIM,2022,,,,,,,,
RJ,Rio de Janeiro,263395,151180,112215,SIM,2022,,,,,,,,
RN,Rio Grande do Norte,48557,27887,20670,SIM,2022,,,,,,,,
RS,Rio Grande do Sul,180234,127962,52272,SIM,2022,,,,,,,,
RO,Rondônia,20197,12953,7244,SIM,2022,,,,,,,,
RR,Roraima,7939,5079,2860,SIM,2022,,,,,,,,
SC,Santa Catarina,161460,119040,42420,SIM,2022,,,,,,,,
SP,São Paulo,938214,636598,301616,SIM,2022,,,,,,,,
SE,Sergipe,29762,16132,13630,SIM,2022,,,,,,,,
TO,Tocantins,20917,13218,7699,SIM,2022,,,,,,,,
Não informado,Não informado,26090,20440,5650,SIM,2022,,,,,,,,
AC,Acre,36369,37517,-1148,NÃO,2023,,,,,,,,
AL,Alagoas,142303,139800,2503,NÃO,2023,,,,,,,,
AP,Amapá,32252,31059,1193,NÃO,2023,,,,,,,,
AM,Amazonas,187540,187620,-80,NÃO,2023,,,,,,,,
BA,Bahia,649617,675835,-26218,NÃO,2023,,,,,,,,
CE,Ceará,419951,428516,-8565,NÃO,2023,,,,,,,,
DF,Distrito Federal,347775,333943,13832,NÃO,2023,,,,,,,,
ES,Espírito Santo,415476,408444,7032,NÃO,2023,,,,,,,,
GO,Goiás,757835,751817,6018,NÃO,2023,,,,,,,,
MA,Maranhão,186572,191111,-4539,NÃO,2023,,,,,,,,
MT,Mato Grosso,514478,505964,8514,NÃO,2023,,,,,,,,
MS,Mato Grosso do Sul,326469,317913,8556,NÃO,2023,,,,,,,,
MG,Minas Gerais,2134526,2130239,4287,NÃO,2023,,,,,,,,
PA,Pará,344902,343282,1620,NÃO,2023,,,,,,,,
PB,Paraíba,150135,153437,-3302,NÃO,2023,,,,,,,,
PR,Paraná,1531418,1513565,17853,NÃO,2023,,,,,,,,
PE,Pernambuco,443969,454808,-10839,NÃO,2023,,,,,,,,
PI,Piauí,106880,104662,2218,NÃO,2023,,,,,,,,
RJ,Rio de Janeiro,1239442,1211145,28297,NÃO,2023,,,,,,,,
RN,Rio Grande do Norte,159243,159934,-691,NÃO,2023,,,,,,,,
RS,Rio Grande do Sul,1218061,1227488,-9427,NÃO,2023,,,,,,,,
RO,Rondônia,133752,131336,2416,NÃO,2023,,,,,,,,
RR,Roraima,39103,36885,2218,NÃO,2023,,,,,,,,
SC,Santa Catarina,1326119,1313517,12602,NÃO,2023,,,,,,,,
SP,São Paulo,6098224,6059620,38604,NÃO,2023,,,,,,,,
SE,Sergipe,89966,90982,-1016,NÃO,2023,,,,,,,,
TO,Tocantins,100003,96201,3802,NÃO,2023,,,,,,,,
Não informado,Não informado,93740,101132,-7392,NÃO,2023,,,,,,,,
AC,Acre,14615,9009,5606,SIM,2023,,,,,,,,
AL,Alagoas,45902,26335,19567,SIM,2023,,,,,,,,
AP,Amapá,11806,6872,4934,SIM,2023,,,,,,,,
AM,Amazonas,56740,35100,21640,SIM,2023,,,,,,,,
BA,Bahia,235969,138653,97316,SIM,2023,,,,,,,,
CE,Ceará,141109,80378,60731,SIM,2023,,,,,,,,
DF,Distrito Federal,66498,43624,22874,SIM,2023,,,,,,,,
ES,Espírito Santo,92640,65252,27388,SIM,2023,,,,,,,,
GO,Goiás,156780,113968,42812,SIM,2023,,,,,,,,
MA,Maranhão,61847,35439,26408,SIM,2023,,,,,,,,
MT,Mato Grosso,106513,75886,30627,SIM,2023,,,,,,,,
MS,Mato Grosso do Sul,68089,48991,19098,SIM,2023,,,,,,,,
MG,Minas Gerais,457186,323316,133870,SIM,2023,,,,,,,,
PA,Pará,106112,62367,43745,SIM,2023,,,,,,,,
PB,Paraíba,49572,27154,22418,SIM,2023,,,,,,,,
PR,Paraná,251861,182590,69271,SIM,2023,,,,,,,,
PE,Pernambuco,145967,84007,61960,SIM,2023,,,,,,,,
PI,Piauí,39734,21908,17826,SIM,2023,,,,,,,,
RJ,Rio de Janeiro,304758,178827,125931,SIM,2023,,,,,,,,
RN,Rio Grande do Norte,53931,30745,23186,SIM,2023,,,,,,,,
RS,Rio Grande do Sul,207727,151713,56014,SIM,2023,,,,,,,,
RO,Rondônia,25675,17037,8638,SIM,2023,,,,,,,,
RR,Roraima,8917,6082,2835,SIM,2023,,,,,,,,
SC,Santa Catarina,178977,129397,49580,SIM,2023,,,,,,,,
SP,São Paulo,1100436,759058,341378,SIM,2023,,,,,,,,
SE,Sergipe,31840,17491,14349,SIM,2023,,,,,,,,
TO,Tocantins,25624,16247,9377,SIM,2023,,,,,,,,
Não informado,Não informado,27164,20564,6600,SIM,2023,,,,,,,,
AC,Acre,38380,37584,796,NÃO,2024,,,,,,,,
AL,Alagoas,155689,153408,2281,NÃO,2024,,,,,,,,
AP,Amapá,36341,33196,3145,NÃO,2024,,,,,,,,
AM,Amazonas,220649,211401,9248,NÃO,2024,,,,,,,,
BA,Bahia,725525,734526,-9001,NÃO,2024,,,,,,,,
CE,Ceará,463950,467576,-3626,NÃO,2024,,,,,,,,
DF,Distrito Federal,386864,365435,21429,NÃO,2024,,,,,,,,
ES,Espírito Santo,462632,452199,10433,NÃO,2024,,,,,,,,
GO,Goiás,823242,809787,13455,NÃO,2024,,,,,,,,
MA,Maranhão,198147,207520,-9373,NÃO,2024,,,,,,,,
MT,Mato Grosso,544669,544645,24,NÃO,2024,,,,,,,,
MS,Mato Grosso do Sul,343110,345436,-2326,NÃO,2024,,,,,,,,
MG,Minas Gerais,2297316,2281430,15886,NÃO,2024,,,,,,,,
PA,Pará,368734,372876,-4142,NÃO,2024,,,,,,,,
PB,Paraíba,174775,169977,4798,NÃO,2024,,,,,,,,
PR,Paraná,1704102,1645044,59058,NÃO,2024,,,,,,,,
PE,Pernambuco,489520,487279,2241,NÃO,2024,,,,,,,,
PI,Piauí,109154,112270,-3116,NÃO,2024,,,,,,,,
RJ,Rio de Janeiro,1371960,1333261,38699,NÃO,2024,,,,,,,,
RN,Rio Grande do Norte,181024,171827,9197,NÃO,2024,,,,,,,,
RS,Rio Grande do Sul,1300012,1289117,10895,NÃO,2024,,,,,,,,
RO,Rondônia,139397,138672,725,NÃO,2024,,,,,,,,
RR,Roraima,40284,36985,3299,NÃO,2024,,,,,,,,
SC,Santa Catarina,1486181,1429068,57113,NÃO,2024,,,,,,,,
SP,São Paulo,6871390,6725427,145963,NÃO,2024,,,,,,,,
SE,Sergipe,103703,102229,1474,NÃO,2024,,,,,,,,
TO,Tocantins,107226,106390,836,NÃO,2024,,,,,,,,
Não informado,Não informado,45186,17093,28093,NÃO,2024,,,,,,,,
AC,Acre,16305,10492,5813,SIM,2024,,,,,,,,
AL,Alagoas,49674,31880,17794,SIM,2024,,,,,,,,
AP,Amapá,13844,8070,5774,SIM,2024,,,,,,,,
AM,Amazonas,70467,44301,26166,SIM,2024,,,,,,,,
BA,Bahia,256502,161922,94580,SIM,2024,,,,,,,,
CE,Ceará,151353,91828,59525,SIM,2024,,,,,,,,
DF,Distrito Federal,70946,50046,20900,SIM,2024,,,,,,,,
ES,Espírito Santo,99894,75226,24668,SIM,2024,,,,,,,,
GO,Goiás,166971,124306,42665,SIM,2024,,,,,,,,
MA,Maranhão,67159,41456,25703,SIM,2024,,,,,,,,
MT,Mato Grosso,107733,82220,25513,SIM,2024,,,,,,,,
MS,Mato Grosso do Sul,69290,54612,14678,SIM,2024,,,,,,,,
MG,Minas Gerais,488979,365285,123694,SIM,2024,,,,,,,,
PA,Pará,115940,72739,43201,SIM,2024,,,,,,,,
PB,Paraíba,55100,32250,22850,SIM,2024,,,,,,,,
PR,Paraná,287184,218472,68712,SIM,2024,,,,,,,,
PE,Pernambuco,152011,94324,57687,SIM,2024,,,,,,,,
PI,Piauí,40359,24147,16212,SIM,2024,,,,,,,,
RJ,Rio de Janeiro,309768,204511,105257,SIM,2024,,,,,,,,
RN,Rio Grande do Norte,61799,36923,24876,SIM,2024,,,,,,,,
RS,Rio Grande do Sul,239758,187253,52505,SIM,2024,,,,,,,,
RO,Rondônia,28266,19690,8576,SIM,2024,,,,,,,,
RR,Roraima,9368,6305,3063,SIM,2024,,,,,,,,
SC,Santa Catarina,198679,149183,49496,SIM,2024,,,,,,,,
SP,São Paulo,1209887,899259,310628,SIM,2024,,,,,,,,
SE,Sergipe,33672,19577,14095,SIM,2024,,,,,,,,
TO,Tocantins,26980,19037,7943,SIM,2024,,,,,,,,
Não informado,Não informado,10848,5698,5150,SIM,2024,,,,,,,,
AC,Acre,6486,7518,-1032,NÃO,2025,,,,,,,,
AL,Alagoas,24817,32089,-7272,NÃO,2025,,,,,,,,
AP,Amapá,6407,6119,288,NÃO,2025,,,,,,,,
AM,Amazonas,42741,40937,1804,NÃO,2025,,,,,,,,
BA,Bahia,137916,132295,5621,NÃO,2025,,,,,,,,
CE,Ceará,86460,90729,-4269,NÃO,2025,,,,,,,,
DF,Distrito Federal,74260,64216,10044,NÃO,2025,,,,,,,,
ES,Espírito Santo,84458,82690,1768,NÃO,2025,,,,,,,,
GO,Goiás,162153,139388,22765,NÃO,2025,,,,,,,,
MA,Maranhão,36642,38546,-1904,NÃO,2025,,,,,,,,
MT,Mato Grosso,112078,91811,20267,NÃO,2025,,,,,,,,
MS,Mato Grosso do Sul,65688,58449,7239,NÃO,2025,,,,,,,,
MG,Minas Gerais,431346,403996,27350,NÃO,2025,,,,,,,,
PA,Pará,64825,65610,-785,NÃO,2025,,,,,,,,
PB,Paraíba,32709,36013,-3304,NÃO,2025,,,,,,,,
PR,Paraná,336173,298534,37639,NÃO,2025,,,,,,,,
PE,Pernambuco,88530,93793,-5263,NÃO,2025,,,,,,,,
PI,Piauí,19899,20627,-728,NÃO,2025,,,,,,,,
RJ,Rio de Janeiro,249857,246744,3113,NÃO,2025,,,,,,,,
RN,Rio Grande do Norte,31919,33154,-1235,NÃO,2025,,,,,,,,
RS,Rio Grande do Sul,279756,240370,39386,NÃO,2025,,,,,,,,
RO,Rondônia,25586,24182,1404,NÃO,2025,,,,,,,,
RR,Roraima,6866,6199,667,NÃO,2025,,,,,,,,
SC,Santa Catarina,307711,267536,40175,NÃO,2025,,,,,,,,
SP,São Paulo,1292113,1186156,105957,NÃO,2025,,,,,,,,
SE,Sergipe,20138,22149,-2011,NÃO,2025,,,,,,,,
TO,Tocantins,21371,18527,2844,NÃO,2025,,,,,,,,
Não informado,Não informado,639,426,213,NÃO,2025,,,,,,,,
AC,Acre,2712,1876,836,SIM,2025,,,,,,,,
AL,Alagoas,7710,6631,1079,SIM,2025,,,,,,,,
AP,Amapá,2588,1574,1014,SIM,2025,,,,,,,,
AM,Amazonas,13452,9456,3996,SIM,2025,,,,,,,,
BA,Bahia,50168,28238,21930,SIM,2025,,,,,,,,
CE,Ceará,27942,17663,10279,SIM,2025,,,,,,,,
DF,Distrito Federal,13273,8728,4545,SIM,2025,,,,,,,,
ES,Espírito Santo,18009,12955,5054,SIM,2025,,,,,,,,
GO,Goiás,31531,19518,12013,SIM,2025,,,,,,,,
MA,Maranhão,12151,7594,4557,SIM,2025,,,,,,,,
MT,Mato Grosso,21746,12719,9027,SIM,2025,,,,,,,,
MS,Mato Grosso do Sul,12898,8656,4242,SIM,2025,,,,,,,,
MG,Minas Gerais,89776,60579,29197,SIM,2025,,,,,,,,
PA,Pará,20903,12963,7940,SIM,2025,,,,,,,,
PB,Paraíba,10723,7651,3072,SIM,2025,,,,,,,,
PR,Paraná,56134,38811,17323,SIM,2025,,,,,,,,
PE,Pernambuco,27863,18954,8909,SIM,2025,,,,,,,,
PI,Piauí,7042,4283,2759,SIM,2025,,,,,,,,
RJ,Rio de Janeiro,52284,35783,16501,SIM,2025,,,,,,,,
RN,Rio Grande do Norte,10839,7415,3424,SIM,2025,,,,,,,,
RS,Rio Grande do Sul,52944,34724,18220,SIM,2025,,,,,,,,
RO,Rondônia,5364,3532,1832,SIM,2025,,,,,,,,
RR,Roraima,1662,1140,522,SIM,2025,,,,,,,,
SC,Santa Catarina,39829,26646,13183,SIM,2025,,,,,,,,
SP,São Paulo,221958,153985,67973,SIM,2025,,,,,,,,
SE,Sergipe,6340,4205,2135,SIM,2025,,,,,,,,
TO,Tocantins,5399,3307,2092,SIM,2025,,,,,,,,
Não informado,Não informado,146,61,85,SIM,2025,,,,,,,,
AC,Acre,29716,26835,2881,,2021,NÃO,,,,,,,
AL,Alagoas,109818,97229,12589,,2021,NÃO,,,,,,,
AP,Amapá,22438,20494,1944,,2021,NÃO,,,,,,,
AM,Amazonas,161778,143043,18735,,2021,NÃO,,,,,,,
BA,Bahia,528774,481250,47524,,2021,NÃO,,,,,,,
CE,Ceará,314227,295018,19209,,2021,NÃO,,,,,,,
DF,Distrito Federal,294585,260528,34057,,2021,NÃO,,,,,,,
ES,Espírito Santo,299270,279481,19789,,2021,NÃO,,,,,,,
GO,Goiás,580065,523626,56439,,2021,NÃO,,,,,,,
MA,Maranhão,152232,136446,15786,,2021,NÃO,,,,,,,
MT,Mato Grosso,372674,341041,31633,,2021,NÃO,,,,,,,
MS,Mato Grosso do Sul,213948,196047,17901,,2021,NÃO,,,,,,,
MG,Minas Gerais,1647931,1508467,139464,,2021,NÃO,,,,,,,
PA,Pará,279657,254700,24957,,2021,NÃO,,,,,,,
PB,Paraíba,120783,108232,12551,,2021,NÃO,,,,,,,
PR,Paraná,1151139,1073983,77156,,2021,NÃO,,,,,,,
PE,Pernambuco,351374,320114,31260,,2021,NÃO,,,,,,,
PI,Piauí,81228,75629,5599,,2021,NÃO,,,,,,,
RJ,Rio de Janeiro,1062348,970932,91416,,2021,NÃO,,,,,,,
RN,Rio Grande do Norte,122520,114341,8179,,2021,NÃO,,,,,,,
RS,Rio Grande do Sul,1052213,974926,77287,,2021,NÃO,,,,,,,
RO,Rondônia,98380,93197,5183,,2021,NÃO,,,,,,,
RR,Roraima,26480,24337,2143,,2021,NÃO,,,,,,,
SC,Santa Catarina,1163347,1065748,97599,,2021,NÃO,,,,,,,
SP,São Paulo,4925074,4544425,380649,,2021,NÃO,,,,,,,
SE,Sergipe,67255,65726,1529,,2021,NÃO,,,,,,,
TO,Tocantins,65059,58495,6564,,2021,NÃO,,,,,,,
Não informado,Não informado,94767,91399,3368,,2021,NÃO,,,,,,,
AC,Acre,13783,8622,5161,,2021,SIM,,,,,,,
AL,Alagoas,54303,35733,18570,,2021,SIM,,,,,,,
AP,Amapá,12381,8062,4319,,2021,SIM,,,,,,,
AM,Amazonas,56889,38533,18356,,2021,SIM,,,,,,,
BA,Bahia,276222,178138,98084,,2021,SIM,,,,,,,
CE,Ceará,186332,122737,63595,,2021,SIM,,,,,,,
DF,Distrito Federal,68800,45505,23295,,2021,SIM,,,,,,,
ES,Espírito Santo,130254,95435,34819,,2021,SIM,,,,,,,
GO,Goiás,213227,155156,58071,,2021,SIM,,,,,,,
MA,Maranhão,77433,48282,29151,,2021,SIM,,,,,,,
MT,Mato Grosso,162354,124367,37987,,2021,SIM,,,,,,,
MS,Mato Grosso do Sul,99320,77035,22285,,2021,SIM,,,,,,,
MG,Minas Gerais,670034,489116,180918,,2021,SIM,,,,,,,
PA,Pará,144732,94897,49835,,2021,SIM,,,,,,,
PB,Paraíba,60922,38257,22665,,2021,SIM,,,,,,,
PR,Paraná,459375,357948,101427,,2021,SIM,,,,,,,
PE,Pernambuco,186230,121833,64397,,2021,SIM,,,,,,,
PI,Piauí,43753,27976,15777,,2021,SIM,,,,,,,
RJ,Rio de Janeiro,285248,190122,95126,,2021,SIM,,,,,,,
RN,Rio Grande do Norte,71516,47016,24500,,2021,SIM,,,,,,,
RS,Rio Grande do Sul,291987,224748,67239,,2021,SIM,,,,,,,
RO,Rondônia,44311,33136,11175,,2021,SIM,,,,,,,
RR,Roraima,11400,8612,2788,,2021,SIM,,,,,,,
SC,Santa Catarina,296755,226284,70471,,2021,SIM,,,,,,,
SP,São Paulo,1506513,1122031,384482,,2021,SIM,,,,,,,
SE,Sergipe,41257,26973,14284,,2021,SIM,,,,,,,
TO,Tocantins,40638,29143,11495,,2021,SIM,,,,,,,
Não informado,Não informado,48623,40321,8302,,2021,SIM,,,,,,,
AC,Acre,29996,29328,668,,2022,NÃO,,,,,,,
AL,Alagoas,111413,110294,1119,,2022,NÃO,,,,,,,
AP,Amapá,24808,25242,-434,,2022,NÃO,,,,,,,
AM,Amazonas,168810,158393,10417,,2022,NÃO,,,,,,,
BA,Bahia,513920,509518,4402,,2022,NÃO,,,,,,,
CE,Ceará,315899,320775,-4876,,2022,NÃO,,,,,,,
DF,Distrito Federal,307098,289267,17831,,2022,NÃO,,,,,,,
ES,Espírito Santo,303291,298530,4761,,2022,NÃO,,,,,,,
GO,Goiás,589004,567546,21458,,2022,NÃO,,,,,,,
MA,Maranhão,159906,153212,6694,,2022,NÃO,,,,,,,
MT,Mato Grosso,388438,372426,16012,,2022,NÃO,,,,,,,
MS,Mato Grosso do Sul,226734,213933,12801,,2022,NÃO,,,,,,,
MG,Minas Gerais,1624190,1621518,2672,,2022,NÃO,,,,,,,
PA,Pará,259476,270286,-10810,,2022,NÃO,,,,,,,
PB,Paraíba,117160,118489,-1329,,2022,NÃO,,,,,,,
PR,Paraná,1164957,1143233,21724,,2022,NÃO,,,,,,,
PE,Pernambuco,336043,346310,-10267,,2022,NÃO,,,,,,,
PI,Piauí,79898,82625,-2727,,2022,NÃO,,,,,,,
RJ,Rio de Janeiro,1090079,1045884,44195,,2022,NÃO,,,,,,,
RN,Rio Grande do Norte,117262,120593,-3331,,2022,NÃO,,,,,,,
RS,Rio Grande do Sul,1041824,1017710,24114,,2022,NÃO,,,,,,,
RO,Rondônia,99238,96343,2895,,2022,NÃO,,,,,,,
RR,Roraima,31836,28328,3508,,2022,NÃO,,,,,,,
SC,Santa Catarina,1128356,1098439,29917,,2022,NÃO,,,,,,,
SP,São Paulo,5029034,4882113,146921,,2022,NÃO,,,,,,,
SE,Sergipe,64268,68518,-4250,,2022,NÃO,,,,,,,
TO,Tocantins,67931,65159,2772,,2022,NÃO,,,,,,,
Não informado,Não informado,78739,85375,-6636,,2022,NÃO,,,,,,,
AC,Acre,19881,12936,6945,,2022,SIM,,,,,,,
AL,Alagoas,68618,50370,18248,,2022,SIM,,,,,,,
AP,Amapá,18616,12637,5979,,2022,SIM,,,,,,,
AM,Amazonas,77471,53067,24404,,2022,SIM,,,,,,,
BA,Bahia,369222,251894,117328,,2022,SIM,,,,,,,
CE,Ceará,227368,156537,70831,,2022,SIM,,,,,,,
DF,Distrito Federal,101720,73182,28538,,2022,SIM,,,,,,,
ES,Espírito Santo,173329,133583,39746,,2022,SIM,,,,,,,
GO,Goiás,299251,233207,66044,,2022,SIM,,,,,,,
MA,Maranhão,99319,65711,33608,,2022,SIM,,,,,,,
MT,Mato Grosso,212059,171835,40224,,2022,SIM,,,,,,,
MS,Mato Grosso do Sul,140496,112688,27808,,2022,SIM,,,,,,,
MG,Minas Gerais,859635,685149,174486,,2022,SIM,,,,,,,
PA,Pará,168333,125105,43228,,2022,SIM,,,,,,,
PB,Paraíba,76158,52065,24093,,2022,SIM,,,,,,,
PR,Paraná,578227,481541,96686,,2022,SIM,,,,,,,
PE,Pernambuco,237547,163853,73694,,2022,SIM,,,,,,,
PI,Piauí,53761,37955,15806,,2022,SIM,,,,,,,
RJ,Rio de Janeiro,443586,297746,145840,,2022,SIM,,,,,,,
RN,Rio Grande do Norte,83611,59289,24322,,2022,SIM,,,,,,,
RS,Rio Grande do Sul,383657,307779,75878,,2022,SIM,,,,,,,
RO,Rondônia,58297,45043,13254,,2022,SIM,,,,,,,
RR,Roraima,16085,12160,3925,,2022,SIM,,,,,,,
SC,Santa Catarina,363147,302287,60860,,2022,SIM,,,,,,,
SP,São Paulo,1972974,1553537,419437,,2022,SIM,,,,,,,
SE,Sergipe,51897,35821,16076,,2022,SIM,,,,,,,
TO,Tocantins,51749,39919,11830,,2022,SIM,,,,,,,
Não informado,Não informado,47775,42597,5178,,2022,SIM,,,,,,,
AC,Acre,27812,29570,-1758,,2023,NÃO,,,,,,,
AL,Alagoas,110189,108769,1420,,2023,NÃO,,,,,,,
AP,Amapá,22580,22428,152,,2023,NÃO,,,,,,,
AM,Amazonas,148948,152023,-3075,,2023,NÃO,,,,,,,
BA,Bahia,464080,496519,-32439,,2023,NÃO,,,,,,,
CE,Ceará,306048,321885,-15837,,2023,NÃO,,,,,,,
DF,Distrito Federal,281234,275101,6133,,2023,NÃO,,,,,,,
ES,Espírito Santo,299224,301003,-1779,,2023,NÃO,,,,,,,
GO,Goiás,562515,565405,-2890,,2023,NÃO,,,,,,,
MA,Maranhão,146000,152859,-6859,,2023,NÃO,,,,,,,
